Procode,Deprivation,Patients,Attendances,FTE staff,Diagnosis,Night beds,Day beds,Age   0-15,Age   60-74,No procedure,Operating Expenses,Urban,Sites,Sea distance,MFF payment index,Degree of specialisation,StudentStaff,CCGs,Non-type 1 AE department,Absence Rate,DTOCs
R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632
R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041
R1C,22.2,43455,145315,2824.1,0.12,0.9,    ,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401
R1D,20.2,47190,103850,1231.7,0.40,    ,    ,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59
R1F,21,74445,313915,2671.9,0.21,0.9,0.8,0.08,0.28,0.35,-202947,0.66,60,4,1.05,-34549.7,0.02,196,1,0.04,371
R1H,34.6,666390,3109155,14741.8,0.21,0.9,0.9,0.13,0.16,0.43,-1603421,0.96,131,21.1,1.21,482078.48,0.03,197,1,0.04,1505
R1J,13.7,61375,86575,2069.9,0.17,    ,1,0.22,0.15,0.67,-112530,0.49,139,13.2,1.06,-8633.51,0,196,0,0.04,33
R1K,23.5,303560,1212960,7681.7,0.25,0.9,1,0.08,0.21,0.48,-766137,0.99,90,33,1.2,200036.91,0.04,199,1,0.03,794
R1L,22.4,11425,21690,4309.9,0.53,1,    ,0,0.17,1,-305336,0.89,345,8.2,1.1,1895.13,0.01,67,0,0.05,522
RA2,9.3,160250,676170,3674,0.25,0.8,0.8,0.1,0.27,0.34,-369263,0.64,98,30.5,1.16,-2123.12,0.03,197,1,0.03,459
RA3,20.2,69515,308625,1452.4,0.21,1,1,0.12,0.25,0.47,-118150,0.76,13,5.9,1.05,-31351.44,0.05,187,1,0.04,205
RA4,15,89630,427460,2029.3,0.24,0.9,1,0.1,0.25,0.43,-171852,0.37,20,17.6,1.04,-32935.01,0.03,193,1,0.03,120
RA7,20.5,327355,1400075,8093.9,0.18,0.9,0.7,0.2,0.2,0.36,-677307,0.86,82,6.7,1.08,105688.96,0.02,198,1,0.04,711
RA9,22.1,187880,671810,5168.9,0.22,0.9,0.7,0.1,0.25,0.49,-432577,0.72,133,3.9,1.01,9149.72,0.03,198,1,0.04,442
RAE,36,219360,816420,5275.8,0.22,0.9,0.8,0.15,0.19,0.55,-418609,0.94,74,46.3,1.03,92579.94,0.03,196,1,0.05,281
RAJ,19.2,191365,858735,3902.1,0.18,0.9,1,0.13,0.24,0.39,-335974,0.93,61,2.2,1.08,27225.78,0.03,195,1,0.04,221
RAL,21.3,497790,2550540,8575.7,0.22,0.9,0.6,0.1,0.21,0.4,-1102613,0.95,101,26.1,1.22,427352.48,0.03,197,1,0.03,641
RAN,19,49765,174730,1460.4,0.01,0.6,    ,0.13,0.24,0.03,-183993,0.88,3,33.6,1.18,-4620.67,0,199,0,0.03,108
RAP,34.2,204225,915990,3069.2,0.19,0.9,0.8,0.12,0.18,0.44,-316931,0.97,38,23.7,1.2,1810.73,0.05,194,1,0.04,179
RAS,20.7,170275,588495,2948.3,0.23,0.8,0.8,0.13,0.18,0.39,-275789,0.95,25,38.3,1.18,-21623.11,0.03,197,1,0.04,175
RAT,28.1,96125,111840,5138.9,0.24,0.9,    ,0.23,0.08,1,-386157,0.93,323,11.5,1.17,-3987.5,0.01,195,0,0.04,325
RAX,11.8,214330,981405,2952.4,0.20,0.9,1,0.14,0.19,0.49,-279585,0.98,95,30.7,1.21,7124.82,0.03,196,1,0.03,304
RBA,18,170335,824960,4162.6,0.21,0.9,0.9,0.11,0.26,0.42,-332211,0.54,62,13.4,1.03,17077.81,0.02,196,1,0.04,245
RBD,18.8,131780,559950,2328.7,0.21,0.9,0.9,0.13,0.24,0.41,-191079,0.55,56,6.1,1.05,58928.05,0.03,199,1,0.03,390
RBK,34,145385,670210,3599.2,0.22,0.9,0.8,0.12,0.21,0.53,-276533,0.97,126,59.2,1.03,-8339.97,0.03,190,1,0.05,362
RBL,28.2,165960,768015,5240.3,0.19,0.9,0.8,0.11,0.23,0.5,-386763,0.97,63,3.3,1.04,87193.02,0.03,191,1,0.05,421
RBN,32.1,210085,1082940,5368.9,0.20,0.9,1,0.08,0.24,0.55,-390275,0.93,45,6.2,1.04,91770.01,0.03,194,1,0.03,609
RBQ,29.7,36075,113010,1473.1,0.05,0.8,0.8,0,0.36,0.06,-138890,0.87,22,3.3,1.04,306.6,0.01,164,0,0.04,149
RBS,39.2,103520,368360,3178.9,0.19,0.8,0.8,0.93,0,0.36,-247790,0.94,64,3.6,1.04,5604.38,0.01,189,1,0.05,416.38
RBT,17.7,144765,502870,3773.9,0.24,0.8,0.8,0.13,0.21,0.46,-258795,0.75,73,17.5,1.04,-225.56,0.01,197,1,0.04,475
RBV,24.1,48470,529055,2713.3,0.08,0.9,0.9,0,0.44,0.21,-304086,0.88,18,23,1.07,-26390.31,0.01,191,0,0.03,36
RBZ,20.2,102430,569140,2680.1,0.20,0.8,0.8,0.09,0.27,0.39,-214937,0.42,169,8.8,1.02,-32436.24,0.03,196,1,0.03,172
RC1,15.1,127140,526805,2543.1,0.23,1,1,0.11,0.22,0.44,-222426,0.64,18,56.7,1.09,-13981.09,0.03,198,1,0.04,271
RC9,20.9,223385,704180,3822.9,0.21,0.9,0.8,0.11,0.19,0.5,-336357,0.87,43,48.6,1.12,56940.4,0.03,197,1,0.03,342
RCB,16.7,274965,1596410,7142.9,0.17,1,1,0.08,0.26,0.46,-520435,0.61,277,24.2,1.03,148880.62,0.03,199,1,0.04,1362
RCD,11.6,109160,431790,3703.1,0.26,0.9,0.8,0.11,0.23,0.33,-239513,0.69,108,39.6,1.04,-27554.76,0.02,195,1,0.04,228
RCF,21.1,96480,360580,2554.6,0.22,0.9,1,0.13,0.23,0.41,-181116,0.68,17,37.9,1.03,-24804.89,0.02,192,1,0.04,147
RCU,31,82680,344420,2735.4,0.22,0.7,1,0.97,0,0.25,-194515,0.89,34,41.5,1.03,-17614.54,0,193,1,0.04,369.6
RCX,22.7,116455,489565,2851.8,0.20,0.8,1,0.1,0.24,0.43,-222666,0.37,15,5.4,1.03,3806.5,0.05,198,1,0.05,368
RD1,13.3,226725,1082910,4432.5,0.21,0.9,1,0.09,0.22,0.51,-333708,0.69,48,16.2,1.08,31355.92,0.03,197,1,0.04,777
RD3,17,158655,503405,3431.6,0.22,0.9,1,0.16,0.21,0.44,-268329,0.87,27,2.5,1.07,7222.14,0.02,196,1,0.04,459
RD8,15.2,161095,807955,3103.9,0.27,0.9,1,0.12,0.22,0.5,-259909,0.77,65,63,1.11,4583.12,0.02,196,1,0.04,706
RDD,20,211145,849405,4353.5,0.22,1,1,0.14,0.22,0.52,-364744,0.9,20,4.6,1.12,54479.41,0.03,194,1,0.04,548
RDE,17.5,380125,2279065,8113.7,0.18,0.9,0.9,0.09,0.24,0.42,-627561,0.63,118,7.4,1.06,212927.42,0.03,198,1,0.04,1099
RDR,16.2,132740,320480,3913.5,0.92,    ,    ,0.19,0.21,1,-229707,0.77,209,4,1.07,3963.37,0,197,0,0.04,903
RDU,11.8,430940,2052020,8201.4,0.22,0.9,0.8,0.11,0.22,0.46,-663710,0.88,209,36.6,1.17,267459.53,0.02,200,1,0.03,1035
RDY,16.6,84950,290720,4572.1,0.35,0.9,0.8,0.03,0.29,0.35,-254497,0.72,418,2.5,1.07,-15431.96,0,128,0,0.05,951
RDZ,17.3,173520,715375,4074.3,0.21,0.9,1,0.05,0.27,0.37,-309834,0.91,22,3,1.07,62308.38,0.02,197,1,0.04,516
RE9,30.5,70160,294365,2765.2,0.23,0.9,0.5,0.11,0.24,0.52,-187855,0.99,89,3.7,1.03,-32371.76,0.03,180,1,0.05,64
REF,23.4,267300,1182620,4841.8,0.17,0.9,0.9,0.13,0.25,0.47,-445933,0.47,161,7.7,1,147054.84,0.04,197,1,0.04,1329
REM,38.4,200320,832080,4658.8,0.25,0.9,1,0.03,0.27,0.46,-370392,0.96,66,5.6,1.04,106308.28,0.03,199,1,0.05,935
REN,27.8,32530,412825,1166.4,0.04,0.8,    ,0,0.45,0.14,-151922,0.88,3,4.5,1.04,-13983.49,0,171,0,0.04,50
REP,41,82655,282135,1333.9,0.01,0.6,0.7,0.05,0.06,0.5,-115182,0.92,91,0.8,1.04,35345.48,0,166,0,0.05,0
RET,30.8,76105,180245,1300.4,0.06,0.9,1,0,0.26,0.12,-122836,0.85,17,5.6,1.04,-1050.94,0.01,171,0,0.05,301
RF4,23,324235,1559440,5844.9,0.21,0.9,0.9,0.1,0.19,0.43,-579437,0.96,52,12.7,1.17,95682.6,0.04,196,1,0.04,858
RFF,28.6,131065,588855,3151.3,0.23,0.9,1,0.13,0.22,0.48,-230438,0.79,3,36.2,1.03,-10572.59,0.03,193,1,0.04,31
RFR,30.1,135120,503125,3750.8,0.22,0.9,1,0.12,0.21,0.41,-270238,0.89,122,35.3,1.03,-18840.95,0.02,195,1,0.04,175
RFS,22,139360,639535,3525.2,0.20,0.9,    ,0.1,0.23,0.48,-276754,0.67,54,45.4,1.03,-2132.48,0.02,193,1,0.05,226
RGD,29.2,13450,50980,2462,0.02,0.9,    ,0,0.13,0.98,-158402,0.92,333,31.7,1.04,-3466.76,0.01,120,0,0.05,1220
RGM,14.8,51280,131485,1711.4,0.05,0.8,0.9,0,0.38,0.2,-172655,0.51,19,40.3,1.08,3.26,0.03,196,0,0.03,26
RGN,17.6,271440,1118530,5516.3,0.22,0.8,0.9,0.11,0.23,0.46,-463007,0.61,39,26.1,1.07,77215.49,0.04,199,1,0.04,1804
RGP,25,119830,532425,2768.1,0.19,0.9,1,0.12,0.24,0.4,-205625,0.72,50,1.5,1.02,26334.99,0.03,196,1,0.05,217
RGR,14,145445,933485,3417.5,0.18,0.8,    ,0.15,0.23,0.49,-254415,0.5,44,28.6,1.04,-3466.87,0.03,192,1,0.04,458
RGT,12.4,332840,1854675,9503.8,0.17,0.9,0.8,0.11,0.24,0.34,-958629,0.51,156,40.3,1.09,241407.12,0.03,198,1,0.03,1565
RH5,18.6,71065,114130,3023.4,0.20,0.9,    ,0.21,0.15,0.98,-189303,0.59,134,7.2,1.04,-9764.63,0,197,0,0.05,297
RH8,17.2,237135,1243660,7144.1,0.15,0.9,0.8,0.09,0.26,0.44,-517198,0.51,101,7.4,1.02,150287.53,0.03,199,1,0.05,1398
RHA,28,21155,81785,7520.7,0.11,0.9,    ,0,0.16,0.99,-443173,0.85,490,49.1,1.03,-7558.67,0,169,0,0.05,479
RHM,17.1,315475,1499315,9828.3,0.16,0.9,0.9,0.15,0.23,0.41,-836277,0.82,141,2.6,1.09,147357.12,0.04,198,1,0.03,2128
RHQ,27.5,386035,2302665,14079.3,0.17,1,0.8,0.02,0.25,0.35,-1129579,0.89,132,39.2,1.03,307071.41,0.03,197,1,0.04,1536
RHU,18.9,301395,1270815,6408.9,0.21,1,0.9,0.11,0.24,0.41,-575691,0.91,54,2.8,1.09,123300.39,0.04,198,1,0.04,1385
RHW,13.1,261335,1196340,4717.5,0.15,0.8,0.8,0.12,0.21,0.55,-411216,0.76,174,42.5,1.15,245872.95,0.03,199,1,0.03,1153
RJ1,26.8,557090,2262530,14862.5,0.25,0.8,0.8,0.11,0.19,0.28,-1537706,0.94,122,23.5,1.28,478209.07,0.04,199,1,0.03,783
RJ2,28.9,309725,1339505,5712,0.19,0.9,0.9,0.13,0.18,0.51,-588528,0.99,45,19,1.2,100317.66,0.04,197,1,0.05,310
RJ6,23.8,206965,964920,3278.6,0.23,0.9,1,0.12,0.17,0.45,-349750,0.98,51,23.6,1.2,-15723.11,0.03,197,1,0.04,392
RJ7,19.5,390445,1606430,8165.8,0.17,0.9,1,0.11,0.2,0.42,-879058,0.97,38,26,1.21,124847.91,0.02,200,1,0.03,320
RJ8,22.7,40570,135895,3170.6,0.14,1,0.6,0.02,0.32,0.93,-177470,0.39,287,8,1,-13353.91,0,89,0,0.05,1145
RJC,12.1,164880,738215,3925.6,0.17,0.9,1,0.09,0.25,0.45,-298847,0.61,124,52.4,1.06,-10963.38,0.02,197,1,0.05,559
RJE,24.7,343015,1768225,9237.1,0.18,0.9,1,0.12,0.24,0.49,-764617,0.84,153,30.8,1.03,316124.6,0.03,199,1,0.04,2016
RJL,25.8,189145,676065,5370,0.25,0.9,0.6,0.12,0.24,0.33,-408493,0.69,65,6.9,1.03,27465.47,0.03,197,1,0.04,612
RJN,13.9,88355,278835,2250.7,0.22,0.9,1,0.11,0.22,0.4,-177126,0.77,90,25.4,1.05,-32078.65,0.02,195,1,0.05,358
RJR,19.2,152725,852695,3503.4,0.20,0.9,1,0.11,0.21,0.45,-249846,0.78,40,6,1.04,13428.74,0.03,196,1,0.04,445
RJZ,23.4,517410,2438945,11365.4,0.19,0.9,0.9,0.1,0.2,0.35,-1253576,0.96,57,22.3,1.21,262946.07,0.05,200,1,0.03,279
RK5,25.7,190215,893175,4158.3,0.21,0.9,0.9,0.12,0.24,0.46,-314265,0.73,39,47.1,1.03,20570.75,0.03,197,1,0.04,695
RK9,22.8,237710,980280,6338.6,0.18,0.9,0.7,0.12,0.24,0.44,-527761,0.67,104,3.2,1.02,77787.66,0.03,198,1,0.04,796
RKB,23.6,331395,1375005,7312.2,0.18,0.9,1,0.1,0.22,0.42,-669694,0.86,30,63.2,1.06,137997.91,0.02,197,1,0.04,1441
RKE,32.4,171725,755490,3725.4,0.27,0.8,1,0.1,0.16,0.38,-317863,0.94,35,25.2,1.21,-30512.38,0.02,200,1,0.04,178
RL1,17.3,72655,263225,1297.6,0.00,0.8,0.7,0.07,0.32,0.08,-108200,0.45,37,26.1,1.03,-2113.62,0,187,0,0.04,268
RL4,28.4,298240,1356340,7786.5,0.18,0.9,1,0.1,0.25,0.36,-579390,0.9,325,56.1,1.03,58435.26,0.02,200,1,0.04,668
RLN,30.6,248865,1342445,4476.2,0.15,0.8,    ,0.12,0.25,0.32,-362452,0.91,59,8.6,1.03,48024.71,0.03,198,1,0.04,229
RLQ,18.2,113520,553060,2681.7,0.20,0.9,0.6,0.1,0.27,0.43,-220243,0.42,148,24.7,1.03,-21062.96,0.03,196,1,0.05,543
RLT,21.6,112040,438300,2054.7,0.26,1,1,0.09,0.25,0.37,-167199,0.83,18,66.9,1.05,-32895.44,0.02,194,1,0.04,337
RLY,31.3,11890,43470,1338.4,0.07,0.8,    ,0.12,0.15,1,-83898,0.89,59,33.8,1.02,-5314.21,0.01,72,0,0.04,114
RM1,16.9,307955,1542325,7028.5,0.16,0.9,1,0.1,0.27,0.38,-627971,0.45,108,20.2,1.02,251397.83,0.03,201,1,0.04,564
RM3,30.9,257325,1100305,7478.5,0.18,1,0.9,0.05,0.23,0.39,-753341,0.95,67,21.4,1.06,182489.94,0.02,199,1,0.04,423
RMC,32.2,180390,678785,5176.2,0.22,0.8,0.8,0.13,0.2,0.51,-341377,0.95,107,21.4,1.05,5229.87,0.02,193,1,0.05,496
RMP,31.1,117140,495815,3443.8,0.23,0.9,0.9,0.13,0.21,0.53,-236824,0.98,14,30.6,1.05,-23966.89,0.02,186,1,0.05,532
RMY,22.5,2230,3590,3752.5,0.32,0.8,    ,0.01,0.17,1,-232241,0.64,165,17,1.03,-2409.18,0.01,51,0,0.05,881
RN3,14.9,175985,687840,3984,0.22,0.9,1,0.12,0.23,0.43,-320131,0.65,173,33.3,1.1,17891.99,0.04,196,1,0.04,976
RN5,10.8,259100,1163765,5395.8,0.23,0.9,0.9,0.13,0.23,0.4,-410024,0.66,89,29.6,1.11,57950.44,0.04,198,1,0.04,1434
RN7,18.5,200960,830410,2922.8,0.24,0.9,0.9,0.11,0.21,0.42,-267065,0.87,72,7.5,1.16,5261.93,0.03,194,1,0.04,218
RNA,25.1,195405,1102920,4212.4,0.18,0.9,0.9,0.1,0.23,0.42,-360712,0.96,26,54.3,1.04,44452.62,0.02,197,1,0.05,371
RNL,23,147770,667655,3527.9,0.21,0.9,1,0.11,0.25,0.37,-306567,0.48,75,5,1.03,-10987.16,0.04,197,1,0.05,806
